Item_Number,Set_Name,Theme,Pieces,Price,Amazon_Price,Year,Ages,Pages,Minifigures,Packaging,Weight,Unique_Pieces,Availability,Size
41384,Andrea's Summer Heart Box,Friends,83,$7.99 ,$14.99 ,2019,Ages_6+,36,1,Other,NA,46,Retail,Small
70645,Cole - Dragon Master,NINJAGO®,92,$14.99 ,$14.99 ,2018,Ages_8-14,48,1,Box,NA,54,Retail,Small
70665,The Samurai Mech,NINJAGO®,154,$14.99 ,$14.99 ,2019,Ages_7+,48,3,Box,0.16Kg (0.35 lb),71,Retail,Small
70824,Introducing Queen Watevra Wa'Nabi,THE LEGO® MOVIE 2™,115,$19.99 ,$14.99 ,2019,Ages_6+,48,4,Box,0.24Kg (0.53 lb),82,Retail,Small
75890,Ferrari F40 Competizione,Speed Champions,198,$14.99 ,$14.99 ,2019,Ages_7+,56,1,Box,0.22Kg (0.48 lb),72,Retail,Small
31092,Helicopter Adventure,Creator 3-in-1,114,$9.99 ,$15.04 ,2019,Ages_6+,92,NA,Box,0.19Kg (0.42 lb),68,Retail,Small
70681,Spinjitzu Slam - Lloyd,NINJAGO®,70,$9.99 ,$15.28 ,2019,Ages_7+,44,1,Box,NA,34,Retail,Small
41408,Mia's Play Cube - Cinema,Friends,37,$9.99 ,$15.32 ,2020,Ages_6+,5,1,Box,NA,31,Retail,Small
71370,Fire Mario Power-Up Pack ,LEGO® Super Mario™,11,$9.99 ,$15.56 ,2020,Ages_6+,NA,NA,Box,NA,9,Retail,Small
70680,Monastery Training,NINJAGO®,122,$9.99 ,$15.64 ,2019,Ages_6+,40,2,Box,0.13Kg (0.29 lb),65,Retail,Small
70848,Systar Party Crew,THE LEGO® MOVIE 2™,196,$19.99 ,$15.66 ,2019,Ages_7+,80,2,Box,NA,104,Retail,Small
41453,Party Time,Unikitty!™,214,$19.99 ,$15.95 ,2018,Ages_6-12,80,4,Box,0.27Kg (0.59 lb),119,Retail,Small
43174,Mulan's Storybook Adventures,Disney™,124,$19.99 ,$15.99 ,2020,Ages_5+,3,3,Box,NA,72,Retail,Small
10894,Toy Story Train,Disney™,21,$19.99 ,$15.99 ,2019,Ages_2+,8,2,Box,NA,19,Retail,Small
10713,Creative Suitcase,Classic,213,$19.99 ,$15.99 ,2018,Ages_4-99,36,NA,Plastic box,0.84Kg (1.85 lb),89,Retail,Small
10771,Carnival Thrill Coaster,Disney™,98,$19.99 ,$15.99 ,2019,Ages_4+,44,2,Box,NA,56,Retail,Small
75945,Expecto Patronum,Harry Potter™,121,$19.99 ,$15.99 ,2019,Ages_7+,48,3,Box,NA,55,Retail,Small
76147,Vulture's Trucker Robbery,Marvel,93,$19.99 ,$15.99 ,2020,Ages_4+,48,3,Box,NA,62,Retail,Small
76123,Captain America: Outriders Attack,Marvel,167,$19.99 ,$15.99 ,2019,Ages_6+,52,3,Box,NA,75,Retail,Small
70672,Cole's Dirt Bike,NINJAGO®,212,$19.99 ,$15.99 ,2019,Ages_8+,56,3,Box,NA,97,Retail,Small
75965,The Rise of Voldemort,Harry Potter™,184,$19.99 ,$15.99 ,2019,Ages_7+,56,6,Box,NA,102,Retail,Small
41361,Mia's Foal Stable ,Friends,118,$19.99 ,$15.99 ,2019,Ages_4+,64,1,NA,0.29Kg (0.64 lb),66,NA,Small
70427,Welcome to the Hidden Side,Hidden Side,189,$19.99 ,$15.99 ,2020,Ages_7+,68,4,Box,NA,103,Retail,Small
21140,The Chicken Coop,Minecraft™,198,$19.99 ,$15.99 ,2018,Ages_7-14,72,1,Box,0.36Kg (0.79 lb),90,Retail,Small
21151,The End Battle,Minecraft™,222,$19.99 ,$15.99 ,2019,Ages_7+,72,2,Box,0.38Kg (0.84 lb),91,Retail,Small
60252,Construction Bulldozer,City,126,$19.99 ,$15.99 ,2020,Ages_4+,84,2,Box,0.35Kg (0.78 lb),81,Retail,Small
76142,Avengers Speeder Bike Attack,Marvel,226,$19.99 ,$15.99 ,2020,Ages_6+,104,3,Box,NA,97,Retail,Small
10859,My First Ladybird,DUPLO®,6,$4.99 ,$16.00 ,2018,Ages_1½-3,9,NA,Box,NA,5,Retail,Large
10886,My First Car Creations,DUPLO®,34,$19.99 ,$16.00 ,2019,Ages_1½+,10,NA,NA,0.64Kg (1.41 lb),31,NA,Large
60222,Snow Groomer,City,197,$19.99 ,$16.00 ,2019,Ages_6+,60,2,Box,0.39Kg (0.85 lb),81,Retail,Small
41165,Anna's Canoe Expedition,LEGO® Frozen 2,108,$19.99 ,$16.00 ,2019,Ages_4+,64,2,Box,NA,61,Retail,Small
60221,Diving Yacht,City,148,$19.99 ,$16.00 ,2019,Ages_5+,64,2,Box,0.34Kg (0.74 lb),81,Retail,Small
70823,Emmet's Thricycle!,THE LEGO® MOVIE 2™,174,$14.99 ,$16.00 ,2019,Ages_7+,84,1,Box,0.25Kg (0.55 lb),100,Retail,Small
60220,Garbage Truck,City,90,$19.99 ,$16.36 ,2019,Ages_4+,40,2,Box,0.31Kg (0.69 lb),52,Retail,Small
43175,Anna and Elsa's Storybook Adventures,LEGO® Frozen 2,133,$19.99 ,$16.37 ,2020,Ages_5+,3,4,Box,NA,71,Retail,Small
43176,Ariel's Storybook Adventures,Disney™,105,$19.99 ,$16.37 ,2020,Ages_5+,3,3,Box,NA,61,Retail,Small
43177,Belle's Storybook Adventures,Disney™,111,$19.99 ,$16.37 ,2020,Ages_5+,3,5,Box,NA,71,Retail,Small
41600,Aquaman,BrickHeadz,135,$9.99 ,$16.49 ,2018,Ages_10+,36,NA,Box,NA,40,NA,Small
60171,Mountain Fugitives,City,88,$9.99 ,$16.49 ,2018,Ages_5-12,36,4,Box,NA,61,Retail,Small
41158,Jasmine's Petite Tower,Disney™,49,$9.99 ,$16.75 ,2019,Ages_5+,24,1,NA,0.09Kg (0.2 lb),35,NA,Small
41251,Poppy's Pod,Trolls World Tour,103,$19.99 ,$16.82 ,2020,Ages_4+,68,1,Box,NA,70,Retail,Small
41250,Techno Reef Dance Party,Trolls World Tour,173,$19.99 ,$16.82 ,2020,Ages_5+,72,1,Box,NA,85,Retail,Small
21141,The Zombie Cave,Minecraft™,241,$19.99 ,$16.82 ,2018,Ages_7-14,84,3,Box,0.39Kg (0.86 lb),88,Retail,Small
41409,Emma's Play Cube - Toy Store,Friends,49,$9.99 ,$16.86 ,2020,Ages_6+,5,1,Box,NA,42,Retail,Small
76092,Mighty Micros: Batman vs. Harley Quinn,NA,86,$9.99 ,$16.94 ,2018,Ages_5-12,7,2,Box,NA,54,Retail,NA
41354,Andrea's Heart Box,Friends,84,$7.99 ,$16.95 ,2019,Ages_6+,32,1,NA,0.14Kg (0.31 lb),38,NA,Small
60178,Speed Record Car,City,78,$9.99 ,$16.98 ,2018,Ages_5-12,40,1,Box,NA,47,Retail,Small
70428,Jack's Beach Buggy,Hidden Side,170,$19.99 ,$16.99 ,2020,Ages_7+,56,3,Box,NA,98,Retail,Small
21153,The Wool Farm,Minecraft™,260,$19.99 ,$16.99 ,2019,Ages_7+,80,1,Box,NA,81,Retail,Small
75269,Duel on Mustafar ,Star Wars™,208,$19.99 ,$16.99 ,2020,Ages_7+,80,2,Box,NA,84,Retail,Small
70826,Rex's Rex-treme Offroader!,THE LEGO® MOVIE 2™,236,$29.99 ,$16.99 ,2019,Ages_7+,132,2,Box,0.44Kg (0.97 lb),109,Retail,Small
31103,Rocket Truck,Creator 3-in-1,198,$19.99 ,$16.99 ,2020,Ages_7+,148,NA,Box,NA,90,Retail,Small
75207,Imperial Patrol Battle Pack,Star Wars™,99,$14.99 ,$17.25 ,2018,Ages_6-12,36,3,Box,NA,43,Retail,Small
21158,The Panda Nursery,Minecraft™,204,$19.99 ,$17.34 ,2020,Ages_7+,48,1,Box,NA,76,Retail,Small
42091,Police Pursuit,Technic™,120,$19.99 ,$17.35 ,2019,Ages_7+,114,NA,Box,0.29Kg (0.64 lb),39,Retail,Small
71373,Builder Mario Power-Up Pack,LEGO® Super Mario™,10,$9.99 ,$17.40 ,2020,Ages_6+,NA,NA,Box,NA,8,Retail,Small
70847,Good Morning Sparkle Babies!,THE LEGO® MOVIE 2™,50,$9.99 ,$17.69 ,2019,Ages_6+,32,4,Box,NA,44,Retail,Small
75549,Unstoppable Bike Chase,Minions,136,$19.99 ,$17.79 ,2020,Ages_6+,60,3,Box,NA,79,Retail,Small
60253,Ice-Cream Truck,City,200,$19.99 ,$17.79 ,2020,Ages_5+,100,2,Box,0.37Kg (0.82 lb),112,Retail,Small
41355,Emma's Heart Box,Friends,85,$7.99 ,$17.81 ,2019,Ages_6+,32,1,NA,0.14Kg (0.31 lb),38,NA,Small
41151,Mulan's Training Day,Disney™,104,$14.99 ,$17.90 ,2018,Ages_5-12,36,1,Box,NA,62,Retail,Small
10920,Elsa and Olaf's Tea Party,DUPLO®,17,$19.99 ,$17.93 ,2020,Ages_2+,12,2,Box,NA,13,Retail,Large
41402,Olivia's Play Cube - Researcher,Friends,40,$9.99 ,$17.97 ,2020,Ages_6+,5,1,Box,NA,34,Retail,Small
41403,Mia's Play Cube - Veterinarian,Friends,40,$9.99 ,$17.97 ,2020,Ages_6+,5,1,Box,NA,32,Retail,Small
41404,Emma's Play Cube - Photographer,Friends,36,$9.99 ,$17.97 ,2020,Ages_6+,5,1,Box,NA,31,Retail,Small
11002,Basic Brick Set ,Classic,300,$19.99 ,$17.97 ,2019,Ages_4+,66,NA,NA,0.44Kg (0.97 lb),93,NA,Small
31090,Underwater Robot,Creator 3-in-1,207,$19.99 ,$17.97 ,2019,Ages_7+,140,NA,Box,0.36Kg (0.79 lb),81,Retail,Small
31089,Sunset Track Racer,Creator 3-in-1,221,$19.99 ,$17.97 ,2019,Ages_7+,144,NA,Box,0.38Kg (0.84 lb),81,Retail,Small
41390,Andrea's Car & Stage,Friends,240,$19.99 ,$17.98 ,2020,Ages_6+,68,2,Box,NA,116,Retail,Small
10909,Heart Box,DUPLO®,80,$19.99 ,$17.99 ,2020,Ages_1½+,2,NA,Box,NA,39,Retail,Large
10910,Submarine Adventure,DUPLO®,24,$19.99 ,$17.99 ,2019,Ages_2+,8,2,Box,NA,22,Retail,Large
10901,Fire Truck,DUPLO®,21,$19.99 ,$17.99 ,2019,Ages_2+,10,2,Box,0.45Kg (0.99 lb),16,Retail,Large
10873,Minnie's Birthday Party,Disney™,21,$19.99 ,$17.99 ,2018,Ages_2-5,12,1,Box,0.36Kg (0.79 lb),18,Retail,Small
10882,Train Tracks,DUPLO®,23,$19.99 ,$17.99 ,2018,Ages_2-5,16,NA,Box,0.66Kg (1.45 lb),9,Retail,Large
70661,Spinjitzu Zane,NINJAGO®,109,$9.99 ,$17.99 ,2019,Ages_7+,32,1,Box,0.13Kg (0.29 lb),21,Retail,Small
41397,Juice Truck,Friends,103,$19.99 ,$17.99 ,2020,Ages_4+,52,2,Box,NA,75,Retail,Small
71701,Kai's Fire Dragon,NINJAGO®,81,$19.99 ,$17.99 ,2020,Ages_4+,60,2,Box,NA,48,Retail,Small
60267,Safari Off-Roader,City,168,$19.99 ,$17.99 ,2020,Ages_5+,76,2,Box,0.34Kg (0.76 lb),86,Retail,Small
41391,Heartlake City Hair Salon,Friends,235,$19.99 ,$17.99 ,2020,Ages_6+,84,2,Box,NA,138,Retail,Small
75265,T-16 Skyhopper vs Bantha Microfighters,Star Wars™,198,$19.99 ,$17.99 ,2020,Ages_6+,84,2,Box,NA,100,Retail,Small
71707,Kai's Mech Jet,NINJAGO®,217,$19.99 ,$17.99 ,2020,Ages_7+,116,2,Box,NA,94,Retail,Small
60205,Tracks,City,20,$19.99 ,$17.99 ,2018,Ages_5-12,NA,NA,Box,0.32Kg (0.7 lb),3,Retail,Small
75223,Naboo Starfighter Microfighter,Star Wars™,62,$9.99 ,$18.47 ,2019,Ages_6+,36,1,Box,0.08Kg (0.18 lb),42,Retail,Small
70683,Spinjitzu Slam - Zane,NINJAGO®,63,$9.99 ,$18.47 ,2019,Ages_7+,40,1,Box,NA,37,Retail,Small
41401,Stephanie's Play Cube - Baker,Friends,44,$9.99 ,$18.54 ,2020,Ages_6+,5,1,Box,NA,37,Retail,Small
41358,Mia's Heart Box,Friends,83,$7.99 ,$18.64 ,2019,Ages_6+,32,1,NA,0.14Kg (0.31 lb),38,NA,Small
41407,Olivia's Play Cube - Sweet Shop,Friends,47,$9.99 ,$18.65 ,2020,Ages_6+,5,1,Box,NA,40,Retail,Small
60218,Desert Rally Racer,City,75,$9.99 ,$18.81 ,2019,Ages_5+,36,1,Box,0.16Kg (0.35 lb),45,Retail,Small
42104,Race Truck,Technic™,227,$19.99 ,$18.84 ,2020,Ages_7+,35,NA,Box,NA,59,Retail,Small
42084,Hook Loader,Technic™,176,$14.99 ,$18.88 ,2018,Ages_7-14,104,NA,Box,0.27Kg (0.59 lb),48,Retail,Small
41400,Andrea's Play Cube - Singer,Friends,49,$9.99 ,$18.93 ,2020,Ages_6+,5,1,Box,NA,32,Retail,Small
41163,Rapunzel's Small Tower,Disney™,44,$9.99 ,$18.94 ,2019,Ages_5+,24,1,NA,0.09Kg (0.2 lb),28,NA,Small
41363,Mia's Forest Adventures ,Friends,134,$14.99 ,$18.95 ,2019,Ages_6+,44,1,NA,0.15Kg (0.33 lb),77,NA,Small
76896,Nissan GT-R NISMO,Speed Champions,298,$19.99 ,$18.95 ,2020,Ages_7+,80,1,Box,NA,101,Retail,Small
41601,Cyborg,BrickHeadz,108,$9.99 ,$18.99 ,2018,Ages_10+,32,NA,Box,NA,48,NA,Small
70637,Cole - Spinjitzu Master,NINJAGO®,73,$9.99 ,$18.99 ,2018,Ages_6-14,32,1,Box,NA,40,Retail,Small
70648,Zane - Dragon Master,NINJAGO®,92,$14.99 ,$18.99 ,2018,Ages_8-14,48,1,Box,NA,54,Retail,Small
31072,Extreme Engines,Creator 3-in-1,109,$9.99 ,$18.99 ,2018,Ages_6-12,76,NA,Box,0.19Kg (0.42 lb),53,Retail,Small
76090,Mighty Micros: Star-Lord vs. Nebula,Marvel,86,$9.99 ,$19.49 ,2018,Ages_5-12,7,2,Box,NA,45,Retail,Small
10885,My First Fun Puzzle,DUPLO®,15,$19.99 ,$19.55 ,2019,Ages_1½+,9,NA,NA,NA,15,NA,Large
